Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],Daily Energy Use (HVAC) [kWh],Daily Energy Use (HVAC and Personal Equipment) [kWh],Daily FF (HVAC),Daily FF (HVAC and Personal Equipment),Daily Cost (HVAC) [$],Daily Cost (HVAC and Personal Equipment) [$],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins],Peak Average Cool Duratin [mins],Peak Average Cool Duration [mins],Daily Occ#1 Cool Duration [mins],Daily Occ#1 Warm Duration [mins],Daily Occ#2 Cool Duration [mins],Daily Occ#2 Warm Duration [mins],Daily Occ#3 Cool Duration [mins],Daily Occ#3 Warm Duration [mins],Daily Occ#4 Cool Duration [mins],Daily Occ#4 Warm Duration [mins],Daily Occ#5 Cool Duration [mins],Daily Occ#5 Warm Duration [mins],Daily Occ#6 Cool Duration [mins],Daily Occ#6 Warm Duration [mins],Daily Occ#7 Cool Duration [mins],Daily Occ#7 Warm Duration [mins],Daily Occ#8 Cool Duration [mins],Daily Occ#8 Warm Duration [mins],Daily Occ#9 Cool Duration [mins],Daily Occ#9 Warm Duration [mins],Daily Occ#10 Cool Duration [mins],Daily Occ#10 Warm Duration [mins],Daily Occ#11 Cool Duration [mins],Daily Occ#11 Warm Duration [mins],Daily Average Cool Duration [mins],Daily Average Warm Duration [mins],Peak Occ#1 In-Office Duration [mins],Daily Occ#1 In-Office Duration [mins],Peak Occ#2 In-Office Duration [mins],Daily Occ#2 In-Office Duration [mins],Peak Occ#3 In-Office Duration [mins],Daily Occ#3 In-Office Duration [mins],Peak Occ#4 In-Office Duration [mins],Daily Occ#4 In-Office Duration [mins],Peak Occ#5 In-Office Duration [mins],Daily Occ#5 In-Office Duration [mins],Peak Occ#6 In-Office Duration [mins],Daily Occ#6 In-Office Duration [mins],Peak Occ#7 In-Office Duration [mins],Daily Occ#7 In-Office Duration [mins],Peak Occ#8 In-Office Duration [mins],Daily Occ#8 In-Office Duration [mins],Peak Occ#9 In-Office Duration [mins],Daily Occ#9 In-Office Duration [mins],Peak Occ#10 In-Office Duration [mins],Daily Occ#10 In-Office Duration [mins],Peak Occ#11 In-Office Duration [mins],Daily Occ#11 In-Office Duration [mins]
6.51583833333333,15.1713383333334,16.7250666666667,39.1370666666666,0.220829613035922,0.224707438472649,1.86475337932,4.35639134332001,0,63,1,37,0,2,3,42,3,12,0,0,7,0,0,33,4,8,0,0,9,0,2.45454545454545,17.9090909090909,0,160,5,115,0,5,24,92,10,17,0,0,22,0,0,51,18,20,1,0,34,0,10.3636363636364,41.8181818181818,180,540,240,780,180,480,180,540,240,540,240,540,240,600,240,600,180,540,180,540,180,660
7.41293,20.87643,17.7492916666667,46.5912916666667,0.164706948399349,0.103848412301656,2.02605819687,5.45242981287001,0,75,0,51,0,4,4,48,2,17,0,0,3,0,0,27,9,13,0,0,8,0,2.36363636363636,21.3636363636364,0,170,4,92,0,8,25,116,10,32,0,0,18,0,0,50,20,22,2,0,41,0,10.9090909090909,44.5454545454545,180,540,180,480,180,600,240,720,180,480,180,540,180,540,240,660,240,540,240,600,240,660
5.36363833333333,9.18213833333333,15.1096666666667,29.2926666666666,0.290038827240839,0.373075968956963,1.63519054612,3.05506376812,0,82,1,28,0,7,5,57,1,11,0,0,4,0,0,30,2,8,0,0,16,0,2.63636363636364,20.2727272727273,0,197,9,73,0,11,37,136,9,16,2,0,29,0,0,49,8,16,1,0,33,0,11.6363636363636,45.2727272727273,240,720,180,540,180,540,240,840,180,480,240,600,180,540,180,540,240,540,180,480,240,540
6.08083,14.74533,15.8900616666667,36.1050616666667,0.234637331489274,0.183198736169818,1.76127876789,4.08977072589003,0,108,1,37,0,2,8,43,2,16,0,0,5,0,0,21,6,5,0,0,6,0,2.54545454545455,21.0909090909091,0,264,6,109,0,7,29,109,7,32,1,0,24,0,0,42,15,18,3,0,32,0,10.6363636363636,52.8181818181818,300,900,240,660,180,540,180,540,240,600,180,540,240,600,180,480,180,480,180,480,180,540
6.173865,16.067365,16.5385883333333,41.9520883333334,0.253398793710023,0.234013578902885,1.81848831189,4.65127123688996,0,65,2,25,0,9,2,27,3,9,0,0,6,0,0,32,5,8,0,0,11,0,2.63636363636364,15.9090909090909,0,144,8,64,0,13,17,59,13,21,0,0,32,0,0,50,19,19,1,0,40,0,11.8181818181818,33.6363636363636,180,480,180,540,180,600,180,480,180,600,180,540,180,540,240,540,240,600,240,600,300,840
6.30077666666666,16.1427766666667,16.86323,43.47998,0.252720070037986,0.257461633300353,1.85472532682,4.77245497531996,0,61,1,44,0,6,8,28,5,13,0,0,9,0,0,26,6,8,0,0,14,0,3.90909090909091,16.9090909090909,0,139,4,80,0,12,27,72,12,26,0,0,30,0,0,49,15,20,1,0,230,0,29,36.1818181818182,180,540,180,480,240,540,180,540,180,600,180,540,180,540,240,600,240,600,180,540,300,840
5.84293333333334,13.2969333333333,15.62531,32.76756,0.252119371285007,0.18840869852175,1.71901489666,3.70364442615999,0,72,2,55,0,7,4,48,2,12,0,0,6,0,0,18,5,6,0,0,8,0,2.45454545454545,19.8181818181818,0,154,5,118,0,10,23,113,10,20,0,0,18,0,0,39,17,16,2,0,38,0,10.2727272727273,42.7272727272727,180,540,300,780,240,600,240,660,240,600,180,540,180,540,180,480,180,480,180,540,180,600
5.71271666666667,11.8077166666667,15.75693,33.59018,0.274894707704271,0.296954248731822,1.71652338998,3.62419364947998,0,72,0,26,0,1,8,46,2,11,0,0,2,0,0,28,4,6,0,0,10,0,2.36363636363636,17.2727272727273,0,154,3,68,0,10,23,102,15,26,1,0,34,0,0,50,16,17,0,0,37,0,11.7272727272727,38.8181818181818,180,480,240,600,180,600,240,600,240,600,180,540,180,600,240,720,180,540,240,540,180,540
6.22981333333333,15.5095633333333,15.820985,37.536985,0.212462013795811,0.173638301886349,1.77021391063,4.26894232062996,0,106,2,26,0,4,9,31,3,6,0,0,0,0,0,20,9,12,0,0,10,0,3,18.6363636363636,0,200,6,69,0,7,19,92,9,14,1,0,25,0,0,43,19,23,0,0,39,0,10.7272727272727,40.7272727272727,240,600,180,540,180,600,180,480,180,480,180,540,180,600,180,600,240,600,240,540,300,780
4.96739333333333,8.83339333333334,14.337585,24.144835,0.307080887983111,0.268299548675041,1.54007930095,2.63781302844999,0,87,2,53,0,2,11,44,2,19,0,0,7,0,0,21,6,8,0,0,9,0,3.36363636363636,21.2727272727273,0,168,8,116,0,9,27,92,11,28,1,0,30,0,0,44,23,16,0,0,47,0,13.3636363636364,43,240,600,300,840,180,540,240,540,240,600,180,540,180,540,180,540,180,540,180,480,180,600
6.94565666666667,18.0519066666667,17.4826016666667,48.9198516666666,0.205420703497506,0.261980318760165,1.96195427417,5.35909278766995,0,98,2,32,0,6,5,32,6,14,0,0,5,0,0,26,3,6,0,0,11,0,2.90909090909091,19.4545454545455,0,187,6,77,0,12,21,75,13,27,1,0,17,0,0,54,14,16,2,0,56,0,11.8181818181818,40.7272727272727,240,600,180,540,240,600,180,480,240,540,240,540,180,480,180,540,180,540,180,600,240,900
6.117605,13.608605,17.20123,41.91198,0.288701447512765,0.35061025511083,1.8626305659,4.41571795440005,0,96,0,22,0,4,8,47,3,12,1,0,4,0,0,33,7,6,0,0,10,0,3,20,0,185,5,62,0,9,24,106,13,24,1,0,20,0,0,78,18,20,0,0,47,0,11.6363636363636,44,240,540,180,540,180,480,180,540,180,480,240,540,180,540,300,840,180,540,240,660,180,660
6.40980666666667,16.4615566666667,15.9810316666667,39.0817816666666,0.19782316932188,0.157584124128766,1.79918524355,4.47429855004995,0,53,2,46,0,3,4,47,3,13,0,0,6,0,0,24,5,6,0,0,7,0,2.45454545454545,17.4545454545455,0,157,5,86,0,7,17,91,13,33,0,0,30,0,0,44,19,15,0,0,46,0,11.8181818181818,39.3636363636364,180,540,240,660,180,540,180,480,180,540,180,540,180,480,180,540,240,600,240,600,300,840
6.22175999999999,13.72076,15.95773,35.17698,0.22021991849718,0.219901196748556,1.77965966142,3.92358521291999,0,93,1,41,0,6,11,42,1,14,0,0,5,0,0,28,2,6,1,0,6,0,2.45454545454545,20.9090909090909,0,204,5,80,0,9,32,85,20,33,1,0,28,0,0,57,16,19,2,0,28,0,12,44.2727272727273,240,660,180,540,240,600,240,600,180,540,240,600,180,540,240,720,180,540,180,480,180,540
6.06022333333333,13.8207233333333,16.274475,37.634725,0.255248069958223,0.265533449050932,1.78802462461,4.11650097811,0,69,3,33,0,5,9,31,3,7,0,0,8,0,0,20,5,10,1,0,3,0,2.90909090909091,15.9090909090909,0,156,8,92,0,9,21,74,13,17,0,0,31,0,0,47,26,31,1,0,25,0,11.3636363636364,38.7272727272727,180,480,180,600,180,540,240,540,180,600,240,540,180,540,240,600,240,780,240,600,180,540
5.9078,16.19305,15.11854,33.36604,0.218469508299082,0.0293693827616347,1.68732189204,4.02224486304,0,73,1,35,0,6,12,40,2,9,0,0,8,0,0,17,4,4,0,0,12,0,3.54545454545455,16.7272727272727,0,166,4,71,0,12,38,106,8,24,1,0,30,0,0,42,11,15,0,0,58,0,13.6363636363636,39.6363636363636,180,540,240,600,180,480,180,600,180,540,180,540,240,540,180,600,180,480,240,540,300,900
5.370825,9.748325,14.6388433333333,26.1720933333334,0.266222763956988,0.255059587642206,1.60072521126,2.87567765075999,0,85,0,29,0,2,4,61,4,15,0,0,3,0,0,26,7,7,1,0,9,0,2.54545454545455,20.4545454545455,0,175,4,91,0,7,20,110,10,23,1,0,20,0,0,59,16,16,2,0,44,0,10.6363636363636,43.7272727272727,240,600,240,660,180,540,240,600,240,600,180,540,180,540,240,720,180,480,180,540,180,540
6.176585,14.797335,16.88549,40.74274,0.268415071164651,0.273621018124947,1.84464040218,4.44087370368,0,92,1,40,0,4,8,38,4,10,0,0,5,0,0,20,9,10,1,0,11,0,3.54545454545455,19.4545454545455,0,200,2,96,0,11,28,89,18,31,1,0,29,0,0,41,17,17,1,0,45,0,12.8181818181818,44.0909090909091,240,600,180,480,180,540,180,540,240,780,240,540,180,480,180,540,180,540,240,600,240,720
5.79452,15.16352,16.0648316666666,36.8980816666667,0.278608065091251,0.178086268170491,1.74724430427,4.18852057976996,0,77,1,32,0,2,10,58,8,9,0,0,10,0,0,24,5,7,1,0,6,0,3.72727272727273,19,0,151,3,68,0,6,28,111,15,18,0,0,45,0,0,48,20,20,1,0,33,0,13.1818181818182,38.3636363636364,180,480,180,540,180,540,240,600,180,540,240,540,300,840,180,600,180,540,240,540,180,600
6.502965,16.373465,16.9744033333334,42.3206533333333,0.233791624683519,0.226218703617997,1.88214775278,4.70773530228004,0,98,0,30,0,4,6,27,2,16,0,0,10,0,0,27,3,3,0,0,12,0,3,18.6363636363636,0,191,9,252,0,9,33,86,17,33,1,0,34,0,0,52,14,12,1,0,38,0,13.3636363636364,57.7272727272727,240,600,240,720,180,540,180,600,180,540,180,540,240,600,180,540,180,480,240,540,240,660
6.185905,13.732655,17.1476083333333,41.6063583333333,0.278511046001071,0.339877098111807,1.86508801017,4.40463766467003,0,75,1,34,0,6,6,31,4,9,1,0,9,0,0,21,2,8,0,0,7,0,2.72727272727273,16.7272727272727,0,152,5,69,0,10,26,80,9,19,1,0,30,0,0,43,11,29,1,0,28,0,10.0909090909091,36.5454545454545,180,480,300,840,240,540,180,540,180,480,240,540,180,540,240,600,180,540,180,600,180,660
5.46792,13.64042,15.3645483333333,34.0062983333333,0.288242012537737,0.197770961937982,1.66407982017,3.82859963067,0,69,2,42,0,4,6,29,1,9,0,0,11,0,0,29,3,3,0,0,9,0,2.90909090909091,16.8181818181818,0,144,7,92,0,10,26,85,14,31,1,0,26,0,0,54,19,16,1,0,44,0,12.5454545454545,39.2727272727273,180,480,240,600,180,540,180,540,180,540,240,600,240,540,240,600,180,540,180,600,240,780
6.75382666666667,16.6500766666667,16.3520933333333,38.3848433333334,0.173949594221168,0.132466087091841,1.8594223004,4.44010586690005,0,84,0,38,0,5,8,39,2,7,0,0,8,0,0,18,9,7,0,0,7,0,3.09090909090909,18,0,211,2,70,0,11,26,75,15,21,0,0,25,0,0,37,19,17,2,0,32,0,11,40.1818181818182,240,780,240,600,240,660,180,480,180,540,180,480,240,600,180,480,180,540,180,600,240,600
