Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Occupant #
0,0,0,0,240,5
0,0,0,0,240,5
31,0,0,0,180,5
0,0,7,1,180,5
67,0,0,0,180,5
0,0,0,0,180,5
18,0,0,0,180,5
103,0,0,0,180,5
12,0,0,0,180,5
22,0,0,0,180,5
6,0,0,57,180,5
0,0,10,0,240,5
0,0,0,0,300,5
0,0,49,0,180,5
0,0,0,0,180,5
0,0,32,0,180,5
114,0,0,0,180,5
0,0,0,0,240,5
29,0,0,0,240,5
29,0,0,0,180,5
0,0,0,0,240,5
0,0,56,0,180,5
76,0,0,0,180,5
46,0,0,0,180,5
0,0,0,0,240,5
20,0,0,0,180,5
57,0,0,0,180,5
0,0,0,0,240,5
36,0,0,0,180,5
97,0,0,0,240,5
18,0,0,52,240,5
18,0,0,0,180,5
11,0,0,0,180,5
0,0,0,45,180,5
42,0,0,48,240,5
18,0,0,0,180,5
21,0,0,0,180,5
33,0,0,0,240,5
59,0,0,0,180,5
18,0,0,0,240,5
0,0,0,0,240,5
0,0,0,45,180,5
0,0,0,0,180,5
62,0,0,0,180,5
0,0,0,0,180,5
17,0,0,0,180,5
83,0,0,0,240,5
53,0,0,0,240,5
51,0,0,0,240,5
0,0,0,50,180,5
0,0,0,0,180,5
33,0,0,0,180,5
0,0,0,0,180,5
0,0,45,0,240,5
11,0,0,0,300,5
39,0,0,39,180,5
0,0,0,0,180,5
20,0,0,0,240,5
0,0,0,0,180,5
18,0,0,2,240,5
100,0,0,0,240,5
0,0,0,0,180,5
13,0,0,0,180,5
0,0,0,0,180,5
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,56,240,6
0,0,0,0,180,6
0,0,0,22,180,6
0,0,0,57,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,59,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,30,240,6
0,0,0,20,180,6
0,0,33,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,24,180,6
0,0,0,0,180,6
0,0,0,50,240,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,7,0,180,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,10,0,180,6
0,0,0,0,180,6
0,0,49,0,240,6
0,0,0,0,180,6
0,0,32,0,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,56,0,240,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,28,0,240,6
0,0,0,0,180,6
0,0,0,52,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,45,180,6
0,0,0,48,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,45,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,50,240,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,45,0,180,6
0,0,0,0,180,6
0,0,0,39,180,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,240,6
0,0,0,0,180,6
0,0,0,0,180,6
0,0,0,0,240,6
0,240,0,0,240,7
0,240,0,0,240,7
0,180,51,56,180,7
0,213,14,0,240,7
0,180,0,22,180,7
0,240,0,57,240,7
0,180,0,0,180,7
0,176,0,0,180,7
0,240,30,0,240,7
0,176,44,0,180,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,55,0,180,7
0,240,52,0,240,7
0,180,0,0,180,7
0,180,0,59,180,7
0,206,0,0,240,7
0,180,50,0,180,7
0,182,0,0,240,7
0,180,0,0,180,7
0,240,0,30,240,7
0,180,0,20,180,7
0,180,33,0,180,7
0,240,14,0,240,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,53,0,180,7
0,180,35,0,180,7
0,180,0,24,180,7
0,180,20,0,180,7
0,180,32,50,180,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,24,0,180,7
0,180,56,0,180,7
0,240,0,0,240,7
0,180,0,0,180,7
0,180,15,0,180,7
0,278,15,0,300,7
0,240,7,0,240,7
0,180,29,0,180,7
0,226,41,0,240,7
0,240,14,0,240,7
0,180,57,0,180,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,10,0,240,7
0,113,0,0,180,7
0,180,49,0,180,7
0,240,0,0,240,7
0,240,32,0,240,7
0,180,39,0,180,7
0,240,32,0,240,7
0,240,52,0,240,7
0,180,25,0,180,7
0,161,46,0,180,7
0,180,56,0,180,7
0,240,0,0,240,7
0,180,0,0,180,7
0,180,31,0,180,7
0,180,0,0,180,7
0,210,47,0,240,7
0,180,0,0,180,7
0,156,0,0,180,7
0,180,0,0,180,7
0,180,0,52,180,7
0,165,28,0,180,7
0,180,24,0,180,7
0,180,0,45,180,7
0,180,5,48,180,7
0,166,34,0,180,7
0,180,24,0,180,7
0,240,0,0,240,7
0,178,0,0,180,7
0,240,15,0,240,7
0,180,0,0,180,7
0,240,0,45,240,7
0,240,0,0,240,7
0,180,58,0,180,7
0,180,38,0,180,7
0,240,32,0,240,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,17,0,180,7
0,180,0,50,180,7
0,240,0,0,240,7
0,234,0,0,240,7
0,234,0,0,240,7
0,180,45,0,180,7
0,180,58,0,180,7
0,180,43,39,180,7
0,240,0,0,240,7
0,240,8,0,240,7
0,180,0,0,180,7
0,180,0,0,180,7
0,180,7,0,180,7
0,300,0,0,300,7
0,116,36,0,180,7
0,180,3,0,180,7
180,0,0,0,180,8
180,0,0,0,180,8
240,0,0,56,240,8
179,0,0,37,180,8
180,0,0,22,180,8
180,0,0,57,180,8
180,0,0,0,180,8
180,0,0,0,180,8
240,0,0,0,240,8
180,0,0,0,180,8
180,0,0,0,180,8
240,0,0,0,240,8
240,0,0,0,240,8
240,0,0,0,240,8
180,0,0,0,180,8
240,0,0,59,240,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
240,0,0,0,240,8
240,0,0,30,240,8
240,0,0,20,240,8
180,0,33,52,180,8
180,0,0,0,180,8
240,0,0,0,240,8
240,0,0,0,240,8
180,0,0,0,180,8
226,0,0,33,240,8
180,0,0,24,180,8
180,0,0,0,180,8
180,0,0,50,180,8
300,0,0,0,300,8
180,0,0,52,180,8
221,0,0,11,240,8
240,0,0,0,240,8
180,0,0,53,180,8
223,0,0,21,240,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,7,58,180,8
240,0,0,0,240,8
240,0,0,0,240,8
180,0,0,0,180,8
180,0,0,0,180,8
218,0,0,24,240,8
240,0,0,0,240,8
240,0,0,53,240,8
180,0,10,43,180,8
180,0,0,0,180,8
240,0,49,40,240,8
180,0,0,53,180,8
240,0,32,38,240,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,56,57,180,8
238,0,0,28,240,8
180,0,0,28,180,8
240,0,0,0,240,8
180,0,0,0,180,8
180,0,0,0,180,8
240,0,0,53,240,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,52,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,45,180,8
180,0,0,48,180,8
240,0,0,0,240,8
236,0,0,0,240,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,45,180,8
180,0,0,0,180,8
240,0,0,0,240,8
240,0,0,0,240,8
240,0,0,0,240,8
180,0,0,57,180,8
240,0,0,50,240,8
180,0,0,0,180,8
180,0,0,50,180,8
227,0,0,73,240,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,45,27,180,8
180,0,0,0,180,8
180,0,0,39,180,8
180,0,0,0,180,8
180,0,0,0,180,8
180,0,0,0,180,8
300,0,0,43,300,8
180,0,0,0,180,8
180,0,0,53,180,8
180,0,0,0,180,8
240,0,0,0,240,8
26,0,0,0,180,9
27,0,0,0,180,9
15,0,0,56,180,9
85,0,0,0,180,9
90,0,0,22,240,9
77,0,0,57,180,9
31,0,0,0,180,9
86,0,0,0,300,9
52,0,0,0,180,9
0,0,0,0,180,9
46,0,0,0,180,9
140,0,0,0,240,9
75,0,0,0,240,9
133,0,0,0,180,9
