Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
38,0,0,0,180,7,21,4
35,0,0,0,180,6,21,4
42,0,31,13,180,12,24,4
104,0,0,0,180,13,30,4
23,0,0,42,240,12,46,4
34,0,22,0,180,9,23,4
37,0,0,0,240,11,39,4
35,0,0,52,300,15,55,4
48,0,0,0,180,13,34,4
117,0,0,0,240,12,35,4
23,0,0,0,180,9,33,4
25,0,0,0,240,10,42,4
46,0,0,0,180,9,24,4
24,0,0,0,180,7,39,4
83,0,0,0,180,9,25,4
24,0,0,20,240,10,54,4
34,0,0,0,180,6,30,4
12,0,0,0,180,7,25,4
17,0,0,0,180,10,30,4
51,0,0,0,240,10,41,4
14,0,0,0,180,10,30,4
13,0,0,0,180,3,29,4
47,0,0,0,180,8,32,4
53,0,0,0,180,9,28,4
17,0,0,0,180,7,12,5
0,0,0,0,240,6,8,5
41,0,0,0,180,6,11,5
0,0,0,0,240,6,8,5
41,0,0,0,180,6,11,5
41,0,0,56,180,10,10,5
65,0,0,0,240,7,7,5
0,0,53,0,180,2,12,5
15,0,0,57,180,6,8,5
0,0,0,0,240,6,8,5
41,0,0,0,180,6,11,5
41,0,0,56,180,10,10,5
65,0,0,0,240,7,7,5
0,0,53,0,180,2,12,5
15,0,0,57,180,6,8,5
21,0,0,0,180,6,11,5
35,0,0,0,240,6,13,5
36,0,0,0,180,6,8,5
10,0,0,0,240,4,9,5
0,0,47,0,240,5,8,5
46,0,0,0,180,5,7,5
0,0,0,0,180,3,8,5
0,0,0,0,180,1,8,5
0,0,0,0,180,2,7,5
0,0,0,59,180,3,7,5
19,0,0,0,180,4,8,5
82,0,0,0,240,11,12,5
19,0,0,0,180,2,7,5
15,0,0,0,180,8,7,5
0,0,0,30,240,2,6,5
33,0,0,9,180,3,12,5
0,0,33,0,180,1,8,5
0,0,0,0,240,2,14,5
41,0,0,0,180,7,8,5
0,0,0,0,180,7,9,5
33,0,0,0,240,2,7,5
14,0,0,0,240,4,7,5
63,0,0,21,180,5,6,5
0,0,0,0,240,6,16,5
66,0,20,0,240,9,9,5
29,0,0,0,180,5,5,5
0,0,0,0,180,4,6,5
0,0,0,0,180,1,7,5
56,0,0,0,180,6,7,5
